counter,date,year,location,tournament,logo,surface,opponent,flag,score,ranking,img
001,17 July,2006,Amersfoort (NLD),Dutch Open,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-tour.png,Clay,N. Massu (37),https://pab-ns.github.io/100-x-djokovic//imgs/flags/cl.svg,7-6 / 6-4,36,https://media.gettyimages.com/photos/novak-djokovic-of-serbia-montenegro-celebrates-defeating-nicolas-of-picture-id71505190?k=6&m=71505190&s=594x594&w=0&h=RPFW9TT6Ww8oVNqEbZuDGBsowsGst0mx47wZeauGo44=
002,2 October,2006,Metz (FRA),Open de Moselle,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-tour.png,Hard,J. Melzer (48),https://pab-ns.github.io/100-x-djokovic//imgs/flags/at.svg,4-6 / 6-3 / 6-2,22,https://media.gettyimages.com/id/72117495/photo/novak-djokovic-of-serbia-holds-the-troph.jpg?s=594x594&w=0&k=20&c=iIHsH9lKg12ZqMGn1RgIrGjnMYhPBGVCZh_yfNdllUo=
003,1 January,2007,Adelaide (AUS),Next Generation Adelaide International,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-tour.png,Hard,C. Guccione (153),https://pab-ns.github.io/100-x-djokovic//imgs/flags/au.svg,6-3 / 6-7 / 6-4,16,https://media.gettyimages.com/id/72941877/photo/2007-next-generation-adelaide-international-day-8.jpg?s=594x594&w=0&k=20&c=67Q51T1Ac8IDQuAEtadMudAugHriYRbDc-rd8SMwalw=
004,19 March,2007,Miami (USA),ATP Masters 1000 Miami,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Hard,G. Canas (55),https://pab-ns.github.io/100-x-djokovic//imgs/flags/ar.svg,6-3 / 6-2 / 6-4,10,https://media.gettyimages.com/photos/novak-djokovic-of-serbia-celebrates-after-winning-match-point-and-picture-id73763146?k=6&m=73763146&s=594x594&w=0&h=Swgvy8DtJBNcByxP69HrGODgA89h9vdBhmIEIfIYHBo=
005,30 April,2007,Estoril (POR),Estoril Open,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-tour.png,Clay,R. Gasquet (15),https://pab-ns.github.io/100-x-djokovic//imgs/flags/fr.svg,7-6 / 6-6 / 6-1,5,https://media.gettyimages.com/id/121023122/photo/atp-2007-estoril-open-mens-singles-final-richard-gasquet-vs-vicent-novak-djokovic-may-6-2007.jpg?s=594x594&w=0&k=20&c=xpTJNK-YNUudVOdR1c6mhbnYmAMP9EpnwHa7IOpoBsw=
006,6 August,2007,Montreal (CAN),ATP Masters 1000 Canada,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Hard,R. Federer (1),https://pab-ns.github.io/100-x-djokovic//imgs/flags/ch.svg,7-6 / 2-6 / 7-6,4,https://media.gettyimages.com/photos/novak-djokovic-of-serbia-poses-with-his-trophy-after-his-win-over-picture-id76067338?k=6&m=76067338&s=594x594&w=0&h=O9PSbIdzbQFSj_PSzImf3aTwAOf3mRNVKff9V2K5aCc=
007,8 October,2007,Vienna (AUT),BA-CA-TennisTrophy,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-tour.png,Hard,S. Wawrinka (41),https://pab-ns.github.io/100-x-djokovic//imgs/flags/ch.svg,6-4 / 6-0,3,https://media.gettyimages.com/id/77321482/photo/serbias-novak-djokovic-kisses-the-troph.jpg?s=594x594&w=0&k=20&c=Vmu6r-jPAySis7Ef5AMcWYVqEZ4BN0PVgL022-1M3tA=
008,14 January,2008,Melbourne (AUS),Grand Slam Australian Open,https://pab-ns.github.io/100-x-djokovic//imgs/events/ao.png,Hard,J. Tsonga (38),https://pab-ns.github.io/100-x-djokovic//imgs/flags/fr.svg,4-6 / 6-4 / 6-3 / 7-6,3,https://media.gettyimages.com/id/79279301/photo/australian-open-2008-day-14.jpg?s=594x594&w=0&k=20&c=i8x3UxubR9jHTKa0XKs5ALUwVe4C2cutJwwX49aoOU4=
009,10 March,2008,Indian Wells (USA),ATP Masters 1000 Indian Wells,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Hard,M. Fish (98),https://pab-ns.github.io/100-x-djokovic//imgs/flags/us.svg,6-2 / 5-7 / 6-3,3,https://media.gettyimages.com/photos/novak-djokovic-of-serbia-holds-the-pacific-life-open-trophy-after-picture-id80353325?k=6&m=80353325&s=594x594&w=0&h=KKup0Wb4wG0j-Ukl2YYaUEe1aq5RCgMetHned1QDMPY=
010,5 May,2008,Rome (ITA),ATP Masters 1000 Rome,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Clay,S. Wawrinka (24),https://pab-ns.github.io/100-x-djokovic//imgs/flags/ch.svg,4-6 / 6-3 / 6-3,3,https://media.gettyimages.com/id/81066453/photo/third-seed-serbian-novak-djokovic-poses.jpg?s=594x594&w=0&k=20&c=T512ICgXosq35TLHmeNu3XMTX0CUC961vLxGU7wWK28=
